,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,duration_in_s,strict_es_overlap,loose_es_overlap
0,P01_01_104,P01,P01_01,00:08:07.610,00:08:08.38,00:08:09.12,29302,29347,put container on top of counter,put-on,1,container,21,"['container', 'top:counter']","[21, 42]",0.74,False,True
1,P01_01_110,P01,P01_01,00:08:25.669,00:08:24.66,00:08:27.92,30279,30475,put plate down,put-down,1,plate,2,['plate'],[2],3.26,True,True
2,P01_01_113,P01,P01_01,00:08:32.200,00:08:32.66,00:08:34.43,30759,30865,put down something,put-down,1,drawer,8,['drawer'],[8],1.77,False,False
3,P01_01_116,P01,P01_01,00:08:37.650,00:08:39.34,00:08:40.25,31160,31215,put down fork,put-down,1,fork,14,['fork'],[14],0.91,False,False
4,P01_01_12,P01,P01_01,00:00:29.539,00:00:36.68,00:00:37.78,2200,2266,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94],1.1,False,True
5,P01_01_135,P01,P01_01,00:10:37.680,00:10:39.51,00:10:40.27,38370,38416,put down grater,put-down,1,grater,96,['grater'],[96],0.76,False,True
6,P01_01_136,P01,P01_01,00:10:39.580,00:10:41.81,00:10:42.83,38508,38569,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]",1.02,False,True
7,P01_01_138,P01,P01_01,00:10:48.120,00:10:49.68,00:10:50.77,38980,39046,put down grater,put-down,1,grater,96,['grater'],[96],1.09,False,True
8,P01_01_139,P01,P01_01,00:10:50.470,00:10:52.77,00:10:53.83,39166,39229,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]",1.06,False,True
9,P01_01_144,P01,P01_01,00:11:10.540,00:11:07.31,00:11:14.16,40038,40449,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],6.85,False,True
10,P01_01_149,P01,P01_01,00:11:38.100,00:11:39.07,00:11:41.91,41944,42114,put down kettle,put-down,1,kettle,44,['kettle'],[44],2.84,False,True
